41780091	Multimodal imaging of retinitis pigmentosa associated with optic disc astrocytic hamartoma in one eye and optic disc drusen in the fellow eye: Case report and review of the literature.	J Fr Ophtalmol	2026 Mar 3
41779964	Association of Changes in Activity Patterns With Brain Atrophy and Disability Progression in People With Multiple Sclerosis.	Neurology	2026 Apr 14
41779813	Functional connectivity-based classification and subtyping of major depression for precision mental health: An ensemble graph neural network approach.	PLOS Digit Health	2026 Mar
41779151	Focused Abbreviated Survey Technique (FAST) brain magnetic resonance imaging in children: results from a European Society of Pediatric Radiology survey.	Pediatr Radiol	2026 Mar 4
41779150	Magnetic resonance imaging-based detection of retinal hemorrhages in a multicenter cohort of abusive head trauma.	Pediatr Radiol	2026 Mar 4
41779099	Neural dynamics in tinnitus: differential effects of hearing status on temporal brain activity variability.	Brain Imaging Behav	2026 Mar 4
41779072	Imaging assessment of immunotherapy in pediatric brain tumors.	J Neurooncol	2026 Mar 4
41779067	Women's reproductive factors predict local brain aging profiles mapped using deep neural networks.	Geroscience	2026 Mar 4
41779062	Intrinsic Brain Activity Alterations in Disorders of Consciousness: A Parallel Resting-State fMRI Analysis at 7 Tesla.	Brain Topogr	2026 Mar 4
41779032	MRI In Vivo Detection of Amyloid-β Protein Deposition in Different Brain Regions of Patients with AD and MCI.	Brain Topogr	2026 Mar 4
41778731	Dynamic structural connectivity changes in cortical and cortico-striatal strokes in mice.	Neural Regen Res	2026 Feb 28
41778432	Impact of Stroke History on Cognitive Function, White Matter Hyperintensities, and Circulating BDNF Levels.	Arch Iran Med	2025 Nov 1
41778320	Perivascular Spaces Are Associated With CSF Aβ in Cerebral Amyloid Angiopathy But Not in Deep Perforator Arteriopathy.	Stroke	2026 Mar 4
41778291	Genotype-Phenotype Correlation of Hereditary Plasminogen Deficiency: Molecular Mechanisms From 18 Patients With Cerebral Infarction.	Haemophilia	2026 Mar 4
41778273	Listeria rhombencephalitis in an alcoholic man; A case report and review of literature.	eNeurologicalSci	2026 Jun
41778237	Nivolumab-induced Limbic Encephalitis in Gastric Cancer: A Case Report and Literature Review.	Cancer Diagn Progn	2026 Mar-Apr
41778041	Retrospective analysis of the clinical features of 12 cases of MOG antibody-associated aseptic meningitis.	Front Med (Lausanne)	2026
41777995	Optimal Timing of Initial Surveillance MRI Following Treatment of Brain Metastases With Stereotactic Radiation: A Comparison of Six Weeks Versus Three Months.	Cureus	2026 Jan
41777701	T2-FLAIR hyperintensities in the inferior cerebellar peduncles and their association with clinical symptoms, molecular and MRI markers in male FMR1 premutation carriers.	Front Mol Neurosci	2026
41777607	Neurosurgical and neuro-oncological outcomes of confirmatory brain biopsies in patients with glioblastoma: a real-life monocentric experience.	Brain Spine	2026
41777595	Advancements in Imaging Technologies and AI Integration for Neurodegenerative Disease Management: A Narrative Review.	Mol Imaging	2025 Jan-Dec
41777594	Detection and characterization of physiological network interactions in pulsatile motion of cranial blood vessels using real-time MRI.	Front Netw Physiol	2026
41777524	Effects of rTMS over the contralateral M1 combined with NMES on pain and functional mobility in primary frozen shoulder: study protocol for a 4-week double-blind, randomized, sham-controlled trial.	Front Neurol	2025
41777513	The Relationship of Modulation Generated in Brain Intrinsic Connectivity Networks by Simple Sensory Stimuli and Cognitive Performance.	Noro Psikiyatr Ars	2026
41777510	Challenging The Diagnosis of Multiple Sclerosis: Histopathological Insights Gained Through Brain Biopsies.	Noro Psikiyatr Ars	2026
41777509	Olfactory Hallucinations Leading to Weight Loss in a Patient with Migraine.	Noro Psikiyatr Ars	2026
41777504	Noninvasive Assessment Follow-Up of Progress in MS Patients.	Noro Psikiyatr Ars	2026
41777503	The Role of Large Artery Atherosclerosis and Predictive Risk Factors in Symptomatic and Asymptomatic Ischemic Stroke.	Noro Psikiyatr Ars	2026
41777499	Characteristics of Brain Metastases Identified by PET-CT Imaging in Patients with Lung Cancer.	Noro Psikiyatr Ars	2026
41777498	Prediction of Hemorrhagic Transformation and Functional Outcomes Using Arterial Spin Labeling MRI in Acute Middle Cerebral Artery Infarction.	Noro Psikiyatr Ars	2026
41777495	Frequency and Etiologies of Peripheral Type Cranial Neuropathy in the Neurology Inpatient Clinic.	Noro Psikiyatr Ars	2026
41777448	GPU Accelerated Modeling of Cortical Radial and Tangential Connectivity Changes in Neurodegeneration.	Med Image Comput Comput Assist Interv	2026
41777381	Brain microstructural alterations and cognitive impairment in obstructive sleep apnea: a diffusion kurtosis imaging study.	Front Neurol	2026
41777138	A glutamatergic Sp5C-STN circuit mediates chronic migraine in mice.	Sheng Li Xue Bao	2026 Feb 25
41777113	Adolescent empathy predicts reduced neural responses to social rejection in adulthood.	Dev Psychopathol	2026 Mar 4
41776969	PET and fMRI insights into experimentally-induced premonitory symptoms in migraine: A systematic review.	Cephalalgia	2026 Mar
41776846	Whiteout sign on dSIR MRI: A case series highlighting symptom-associated white matter changes not observed on standard T(2)-FLAIR.	Brain Inj	2026 Mar 3
41776821	Identification of a Homozygous PGM2L1 Variant in a Male Patient With Developmental Delay and Seizures.	Mol Genet Genomic Med	2026 Mar
41776761	Canine vertebral venous thrombosis: confirmatory MRA before retreatment following symptom recurrence.	J S Afr Vet Assoc	2025 Nov
41776705	Shared and disorder-specific resting-state neural activity characteristics in patients with anorexia nervosa and bulimia nervosa.	J Eat Disord	2026 Mar 3
41776671	Predictive value of acute MRI-detected brain lesions for clinical outcome in patients with acute carbon monoxide poisoning.	Eur J Med Res	2026 Mar 3
41776642	Advancing clinical insight into creatine transporter deficiency: long term outcome and new observations from the Italian cohort.	Orphanet J Rare Dis	2026 Mar 3
41776409	Abnormal imaging features of episodic cluster headache and episodic migraine: a multimodal 7T MRI study.	J Headache Pain	2026 Mar 3
41776382	Performance of the 2024 McDonald diagnostic criteria for multiple sclerosis.	Mult Scler	2026 Mar 3
41776355	Motion-compensated diffusion encoding gradients for segmented thick-slab 3D magnetic resonance diffusion-weighted imaging of the brain.	Med Phys	2026 Mar
41776305	Downfield magnetic resonance signals serve as endogenous imaging biomarkers of nucleotide metabolism in glioma.	Commun Biol	2026 Mar 3
41776260	Brain connectivity and its relation to cognitive function in patients with post-COVID 19 condition after mild infection.	Sci Rep	2026 Mar 3
