41835777	Incidental Subependymoma of the Floor of the Fourth Ventricle: A Case Report.	Cureus	2026 Feb	Subependymomas are rare, slow-growing intraventricular tumors that are typically discovered incidentally and seldom present with transient sensory symptoms in young adults. We report the case of a 22-year-old woman who presented with episodic migratory paresthesias and was found on brain MRI to have a small fourth-ventricular lesion radiographically consistent with subependymoma. The patient's sensory symptoms resolved spontaneously, and no further episodes occurred. Conservative management with serial imaging was pursued. At the six-month follow-up, the lesion remained stable, and the patient was asymptomatic. Subependymomas most commonly become symptomatic due to cerebrospinal fluid obstruction, whereas episodic migratory paresthesias are unusual. This case highlights the value of early MRI in young adults with atypical sensory symptoms, which may reveal incidental yet clinically significant findings and help avoid unnecessary invasive testing. Small, non-obstructive fourth-ventricle subependymomas can be safely managed with observation, demonstrating excellent short-term clinical and radiographic outcomes.Copyright © 2026, Brekke-Kumley et al.
41835743	Pre-operative High-Resolution CT and MRI Evaluation in Pediatric Cochlear Implant Candidates: Correlation With Surgical Findings and Outcomes.	Cureus	2026 Feb	Purpose Congenital sensorineural hearing loss (SNHL) is a major childhood disability, and early cochlear implantation offers optimal auditory and language outcomes. High-resolution computed tomography (HRCT) and magnetic resonance imaging (MRI) are essential in evaluating candidacy, identifying inner ear malformations (IEMs), assessing cochlear nerve integrity, and predicting surgical challenges. This study evaluates the role of HRCT and MRI in pediatric cochlear implant candidates and correlates imaging findings with intraoperative events and postoperative outcomes. Methods This retrospective study included 32 children (<7 years) with congenital SNHL who underwent HRCT and MRI of the temporal bones. HRCT assessed mastoid pneumatization, middle ear status, vascular variants, facial recess anatomy, and cochlear morphology. MRI evaluated the membranous labyrinth, cochleovestibular nerve, internal auditory canal (IAC), and brain. Exclusion criteria included lack of consent, age >7 years, metallic implants, pacemakers, or prior cochlear implantation. Surgical records were retrospectively reviewed to assess operative complexity, including duration of surgery, intraoperative challenges, and complications encountered. Results Among 32 patients (mean age 2.9 years), mastoid aeration was normal in 81.25%, and the middle ear cavity was aerated in 90.63%. Sigmoid sinus variants, high-riding jugular bulbs (18.75%), and low-lying dural plates (34.38%) were common. Vestibular aqueduct anomalies were identified in 18.75%. The cochlear aperture was normal in 74.88%, widened in 12.5%, and stenosed in 6.25%. Inner ear malformations were present in 15.63%, including large vestibular aqueduct syndrome (LVAS), incomplete partitions, and cochlear hypoplasia, with cochlear nerve aplasia in two cases. Nineteen patients underwent cochlear implantation; all IEM cases experienced intraoperative perilymphatic gushers, consistent with imaging predictions. All surgeries used the transmastoid facial recess approach with an extended round window technique. Postoperative recovery was uneventful in all cases. Conclusions HRCT and MRI together provide a comprehensive assessment of pediatric cochlear implant candidates, enabling precise identification of IEMs, cochlear nerve anomalies, and surgical risk factors. Imaging reliably predicts intraoperative challenges such as gushers and aids in tailoring surgical approaches. A combined CT-MRI protocol is indispensable for optimizing safety, minimizing complications, and enhancing postoperative outcomes in pediatric cochlear implantation.Copyright © 2026, Mehta et al.
41835724	Understanding Pediatric Stroke: Etiology, Diagnosis, and Management in Children Under 15 Years.	Cureus	2026 Feb	Although rare in children under the age of 15, stroke is associated with significant mortality and long-term neurological morbidity. Understanding its underlying etiologies, accurate diagnostic modalities, and appropriate management is crucial for improving patient outcomes. This narrative review article aims to summarize the current literature discussing the etiology, diagnosis, and management of stroke in children aged 15 years old or younger. A comprehensive literature review was done using scientific databases such as PubMed, Scopus, and Google Scholar. The literature search included publications from 1997 to 2023, including peer-reviewed articles that specifically targeted pediatric stroke in patients under the age of 15 years. Only articles that specifically mentioned pediatric stroke were considered, excluding articles that specifically targeted adult patients, with a focus on more recent evidence in the management and therapeutic sections. The review identifies cardioembolic sources, vascular abnormalities, hypercoagulable states, and infections as major etiologies of ischemic stroke in children. Hemorrhagic strokes, though less common, are primarily caused by trauma, aneurysms, and coagulopathies. While imaging modalities such as MRI and MR angiography have enhanced diagnostic accuracy, their availability is limited in resource-poor settings. Management is complicated by limited pediatric evidence supporting thrombolysis in pediatric ischemic stroke and the limited applicability of adult treatment guidelines. Pediatric stroke is a rare but formidable diagnostic and therapeutic challenge due to its varied etiologies and clinical presentations. Early recognition and intervention are key to improving outcomes. Future research should focus on refining diagnostic strategies and developing targeted therapies for pediatric patients.Copyright © 2026, AlZamer et al.
41835680	Early Stroke in a Young Male: Could it be Cerebral Autosomal Dominant Arteriopathy With Subcortical Infarcts and Leukoencephalopathy (CADASIL)?	Cureus	2026 Feb	A man in his early 40s presented with a sudden-onset headache, slurred speech, drooling, and a transient left-sided facial droop, which resolved within a few hours. Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy (CADASIL) is a rare monogenic hereditary cerebrovascular disorder that can cause stroke in adults due to mutations in the NOTCH3 gene and is associated with characteristic white matter changes on imaging (the "NOTCH" part of the gene name is derived from the Drosophila melanogaster notched wing mutant, and "3" signifies that it is the third discovered human homologue). The presence of elevated blood pressure raised questions regarding an alternative etiology for stroke. Therefore, he was referred to the accident and emergency department for further evaluation, including an MRI of the brain, which showed an acute infarct with periventricular white matter changes involving the right internal capsule. This report highlights the importance of considering CADASIL as an underlying cause of stroke in patients with persistent symptoms and characteristic white matter changes.Copyright © 2026, Raj et al.
41835295	Parent Artery Occlusion for a Giant Serpentine Aneurysm of the Internal Carotid Artery under Electrophysiological Monitoring: A Case Report.	J Neuroendovasc Ther	2026	Giant serpentine aneurysms (GSAs) are a rare subtype of giant intracranial aneurysms characterized by partial thrombosis and a tortuous serpentine vascular channel. We report a case of pediatric GSA of the right internal carotid artery (ICA) in which ischemic tolerance was assessed using balloon test occlusion (BTO) with motor-evoked potential (MEP)/somatosensory-evoked potential (SEP) monitoring under general anesthesia, followed by parent artery occlusion (PAO).A 9-year-old boy was referred to our hospital for decreased right visual acuity detected during a school screening. Imaging revealed a GSA of approximately 39 mm extending from the siphon to the terminus of the right ICA. Under general anesthesia, BTO was performed with concurrent MEP and SEP monitoring. A transient decrease in MEP occurred 18 min after occlusion; however, the waveform recovered immediately with 10% stimulation intensity, and no further MEP deterioration was observed during BTO (total 30 min). PAO of the right ICA was then performed using the double-catheter technique. Postoperatively, the patient developed mild transient left upper limb weakness, and MRI revealed luxury perfusion; both the conditions resolved within a few days without infarct extension. The patient was discharged on postoperative day 10 without any new neurological deficits.This case suggests that when awake BTO is difficult to perform in pediatric patients, BTO with electrophysiological monitoring under general anesthesia can be useful, while highlighting the limitations of MEP monitoring. As a clinical symptom-based assessment is impossible during BTO performed under general anesthesia, a multimodal assessment may further enhance safety when transient MEP deterioration occurs. At present, BTO performed under MEP monitoring should be interpreted as a supplementary assessment to be used only when other alternative methods are unavailable.©2026 The Japanese Society for Neuroendovascular Therapy.
41835227	Organization of mouse prefrontal cortex subnetwork revealed by spatial single-cell multi-omic analysis of SPIDER-Seq.	Natl Sci Rev	2026 Mar	Deciphering the connectome, anatomy, transcriptome and spatial-omics integrated multi-modal brain atlas and its underlying organization principles remains a great challenge. We developed a Single-cell Projectome-transcriptome In situ Deciphering Sequencing (SPIDER-Seq) technique by combining viral barcoding tracing with single-cell sequencing and spatial-omics. This empowers us to delineate an integrated single-cell spatial molecular, cellular, anatomic and projectomic atlas of the mouse prefrontal cortex (PFC). The projectomic and transcriptomic cell clusters display distinct modular organization principles, but are coordinately configured in the PFC. The projection neurons gradiently occupied different territories in the PFC aligning with their wiring patterns. Importantly, they show higher co-projection probability to the downstream nuclei with reciprocal circuit connections. Moreover, we integrated the projectomic atlas with its distinct spectrum of neurotransmitters/neuropeptides with their receptor-related gene profiles in order to demonstrate the PFC neural signal transmission network, by which means we uncovered potential mechanisms underlying the complexity and specificity of neural transmission. Finally, leveraging machine learning, we predicted neuron projections with high accuracy by combining gene profiles and spatial information. As a proof of concept, we used this model to predict projections of fear recall engram neurons. This study facilitates our understanding of the brain multi-modal network and neural computation.© The Author(s) 2026. Published by Oxford University Press on behalf of China Science Publishing & Media Ltd.
41835176	The relationship between corticospinal tract and the affected lower limb function and walking ability in subacute stroke patients: a preliminary study.	J Phys Ther Sci	2026 Mar	[Purpose] The relationship between corticospinal tract (CST) integrity and upper limb motor function after stroke is well studied, but its association with lower limb motor function remains unclear. In addition, the analysis by type of stroke are remains insufficient. This study examined the relationship between CST integrity, lower limb motor function, and walking ability in subacute stroke patients, considering type of stroke. [Participants and Methods] In this study, 27 patients with cerebral infarction and 13 patients with intracerebral hemorrhage were included. Diffusion tensor imaging (DTI) assessed CST integrity using the fractional anisotropy ratio (rFA) at the cerebral peduncle. Motor function was evaluated with the Fugl-Meyer Assessment of Lower Extremity (FMA-LE), the affected-side muscle strength with a handheld dynamometer, and walking ability with Functional Ambulation Categories (FAC). Group differences between types of stroke and correlations between rFA and motor function were analyzed. [Results] Patients with intracerebral hemorrhage had significantly lower rFA. rFA correlated with FMA-LE and lower limb muscle strength, except for hip extensors. Walking ability was also associated with rFA and FAC. [Conclusion] CST integrity as assessed by DTI was associated with motor function of the affected-side lower limb and walking ability in subacute stroke patients and warrant further study.2026©by the Society of Physical Therapy Science. Published by IPEC Inc.
41835134	Classifying irritable bowel syndrome using spatio-temporal graph convolution networks on brain functional MRI data.	Brain Commun	2026	Irritable bowel syndrome (IBS) is a functional gastrointestinal disorder marked by abdominal pain and changes in stool consistency or frequency. Recent studies have explored the link between IBS and alterations in brain networks using functional MRI. Despite these efforts, an effective diagnostic or predictive model for IBS remains elusive. This shortfall is twofold: firstly, the sample sizes in these studies are typically small, and secondly, the machine learning or deep learning models currently in use fail to adequately detect the subtle and dynamic pathological changes present in functional MRI data for IBS. In this study, we extracted rs-functional MRI of 79 subjects with IBS and 79 healthy controls, then put them into spatio-temporal graph convolution network (ST-GCN) for classification. We also incorporated a novel interpretability module into this model to identify potential regions of interest (ROI) associated with IBS. Our model outperformed other state-of-the-art machine learning and deep learning methods with the highest average accuracy of 83.51% on our dataset. Furthermore, based on the results of our interpretability module, the Inferior Parietal Lobule (IPL.R), Inferior Frontal Orbital part (ORBinf.R), Postcentral Gyrus (PCG.R), Middle Frontal Orbital part (ORBmid.R), and Superior Medial Frontal Orbital part (ORBsupmed.L) were identified as top 5 important brain regions for distinguishing IBS patients from the control group, which are consistent with the brain regions identified in previous literature reviews. We also conducted three external data-driven experiments to further validate the effectiveness of the interpretability module: (1) Experiment only on important brain regions; (2) Comparison with the Perturbation-Based Methods; (3) Correlation analysis. The results indicate that the selected regions significantly impact IBS.© The Author(s) 2026. Published by Oxford University Press on behalf of the Guarantors of Brain.
41835080	DenseLes: slice-wise dense network for multiple sclerosis lesion segmentation and classification.	Front Neurol	2026	Accurate and reliable segmentation of multiple sclerosis (MS) lesions from magnetic resonance imaging (MRI) is essential for diagnosis and monitoring disease progression. Therefore, a robust and efficient automated approach can rapidly provide information about the patient. Here, a convolutional neural network-based method is proposed to segment lesions from FLAIR images. The DenseLessystem includes two stages: pre-processing of image data (brain extraction, standardization), then segmentation of MS lesions using an end-to-end slice-wise dense network. We also identified the segmented lesions in specific locations [periventricular, (juxta)cortical, infratentorial, and spinal]. DenseLesis evaluated and compared to other methods on our assembled data and the public MSSEG 2016 MS challenge dataset. Our model demonstrates a significant improvement in segmentation quality over previous approaches, achieving an average Dice score of 0.80% on the Szeged MS dataset. On the MSSEG 2016 dataset, our method achieved Dice scores ranging from 0.32% to 0.73%, comparable to those of human raters.Copyright © 2026 Katona, Bozsik, Bodnár, Kocsis, Tóth, Szabó, Király, Faragó, Nyúl, Veréb and Kincses.
41835016	Hallucinations and cognitive impairment are associated with blood pressure fluctuations in Parkinson's disease.	BMJ Neurol Open	2026	Patients with Parkinson's disease (PD) frequently develop cardiovascular autonomic dysfunctions, including blood pressure (BP) fluctuations and orthostatic hypotension (OH) in the early stage, and hallucinations or cognitive impairment in the middle stage to late stage. The current study aimed to determine whether OH, BP fluctuations and cerebral white matter hyperintensities (WMHs) on MRI are associated with the development of hallucinations and cognitive impairment.In this joint cross-sectional case-control study conducted across two institutions, we analysed the systolic BP coefficient of variation (SBP-CV) and nocturnal BP dipping using ambulatory BP monitoring and OH prevalence in 121 patients with PD and 21 hospital controls. The association between these factors and hallucinations/psychosis or cognitive impairment was analysed using multivariable logistic regression models. Then, we conducted mediation analyses of the relationship between abnormal BP fluctuations and cognitive impairment in PD, with WMHs evaluated using the Fazekas scale as the intermediate factor.Patients with PD were characterised by large SBP-CV without pulse rate-CV elevation, neurogenic OH and riser pattern of nocturnal BP dipping. Neurogenic OH was significantly associated with hallucinations/psychosis (adjusted OR: 6.22; 95% CI 2.47 to 15.64; p<0.001), and large SBP-CV was significantly associated with hallucinations/psychosis (adjusted OR: 2.15; 95% CI 1.32 to 3.53/5 points; p=0.002) and cognitive impairment (adjusted OR: 1.79; 95% CI 1.15 to 2.78/5 points; p=0.010). Periventricular hyperintensity (PVH) was associated with cognitive impairment (adjusted OR: 5.80; 95% CI 1.81 to 18.61; p=0.003), but not with BP fluctuations. The ORs for SBP-CV in cognitive impairment in PD were very similar across multivariable analyses that included PVH or deep WMH as mediator variables.Large BP fluctuations in PD were associated with hallucinations and cognitive impairment, but WMHs did not mediate this relationship.Copyright © Author(s) (or their employer(s)) 2026. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ Group.
