journal_id,journal_name,journal_name_short,issn,impact_factor,h_index,citescore,overall_score,cas_quartile,big_category,sub_category,sci_indexed,oa_status,acceptance_rate,review_cycle,views,fields,detail_url,article_url
3,AAPS Journal,AAPS J,1550-7416,3.7,96,9.3,7.7,3区,医学,药学,SCIE,No,,约1.0个月,138435,医药科学,https://letpub.com.cn/index.php?journalid=3&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=3&xuanxiangk_id=2#xuanxk_3
4,AAPS PHARMSCITECH,AAPS PHARMSCITECH,1530-9932,4.0,79,6.9,6.3,4区,医学,药学,SCIE,Yes,容易,约2.0个月,122430,医药科学,https://letpub.com.cn/index.php?journalid=4&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=4&xuanxiangk_id=2#xuanxk_3
19,ACM COMPUTING SURVEYS,ACM COMPUT SURV,0360-0300,28.0,132,51.6,9.0,1区,计算机科学,计算机：理论方法,SCI SCIE,No,较难,>12周，或约稿,224830,计算机科学|信息科学,https://letpub.com.cn/index.php?journalid=19&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=19&xuanxiangk_id=2#xuanxk_3
32,ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,0730-0301,9.5,173,17.7,7.5,1区,计算机科学,计算机：软件工程,SCI SCIE,No,很难,约12.0个月,123090,计算机科学|信息科学,https://letpub.com.cn/index.php?journalid=32&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=32&xuanxiangk_id=2#xuanxk_3
33,ACM Transactions on Information and System Security,ACM T INFORM SYST SE,1094-9224,0.0,75,4.5,3.6,未录,,,无,No,容易,约6.0个月,44797,计算机科学|信息科学,https://letpub.com.cn/index.php?journalid=33&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=33&xuanxiangk_id=2#xuanxk_3
38,ACM Transactions on Multimedia Computing Communications and Applications,ACM T MULTIM COMPUT,1551-6857,6.0,38,8.7,7.6,3区,计算机科学,计算机：理论方法,SCIE,No,容易,>12周，或约稿,205066,计算机科学|计算机应用技术|信息科学,https://letpub.com.cn/index.php?journalid=38&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=38&xuanxiangk_id=2#xuanxk_3
40,ACM Transactions on Sensor Networks,ACM T SENSOR NETWORK,1550-4859,4.7,54,7.3,6.5,4区,计算机科学,计算机：信息系统,SCIE,No,容易,约6.0个月,79782,计算机科学|信息科学,https://letpub.com.cn/index.php?journalid=40&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=40&xuanxiangk_id=2#xuanxk_3
42,ACM Transactions on the Web,ACM T WEB,1559-1131,4.1,39,5.6,5.3,4区,计算机科学,计算机：信息系统,SCIE,No,容易,约12.0个月,53939,计算机科学|信息科学,https://letpub.com.cn/index.php?journalid=42&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=42&xuanxiangk_id=2#xuanxk_3
46,ACS Chemical Biology,ACS Chem. Biol.,1554-8929,3.8,91,7.1,7.8,2区,生物学,生化与分子生物学,SCIE,Transformative,较易,约3.3个月,230639,生命科学,https://letpub.com.cn/index.php?journalid=46&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=46&xuanxiangk_id=2#xuanxk_3
53,ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,ACTA AGR SCAND B-S P,0906-4710,1.8,31,5.5,5.6,4区,农林科学,农艺学,SCI SCIE,No,66%,约2.2个月,91926,生命科学,https://letpub.com.cn/index.php?journalid=53&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=53&xuanxiangk_id=2#xuanxk_3
58,ACTA ASTRONAUTICA,ACTA ASTRONAUT,0094-5765,3.4,68,7.3,7.5,2区,物理与天体物理,工程：宇航,SCIE,No,50%,约9.0个月,248372,生命科学|信息科学,https://letpub.com.cn/index.php?journalid=58&page=journalapp&view=detail,https://letpub.com.cn/index.php?page=journalapp&view=detail&journalid=58&xuanxiangk_id=2#xuanxk_3
